id,character,name,count,arrives,effect,art_notes
S_POCKETKNIFE,James,Pocketknife,1,1,"Weapon. +1 Attack die. Small, folding, and always in his pocket.","folding pocketknife with a worn grip"
S_FLASHLIGHT,James,Flashlight,1,1,"Counts as a light source for Charlie checks. Batteries included — for now.","yellow plastic torch covered in gaming stickers"
S_HEADPHONES,James,Headphones,1,1,"Comfort. Single-use: discard at Night for +2 Sanity — drown the noises out.","chunky gaming headphones with LED trim"
S_FIRST_AID_KIT,Coco,First Aid Kit,1,1,"Single-use. Restore 4 Health to any player at your location.","white first aid box with a red cross and an angel sticker"
S_COMFORT_BLANKET,Coco,Comfort Blanket,1,1,"Comfort. While held: +1 Sanity whenever you sleep indoors. Tradeable — someone always needs it more.","soft knitted blanket folded neatly"
S_HOPEFUL_TEA,Coco,Hopeful Tea,1,1,"Single-use. One player at your tile: +2 Sanity and +1 Hunger. Best shared warm.","steaming thermos of tea painted with flowers"
S_SPARE_BATTERY,Coco,Spare Phone Battery,1,2,"Single-use. Refill a dead Flashlight, or count as 1 Battery toward a craft.","small phone battery with a charm attached"
S_FRIENDSHIP_BRACELET,Coco,Friendship Bracelet,1,3,"Keepsake. Single-use: +1 Sanity to you and one ally at your tile — remember who you're surviving for.","woven friendship bracelet with beads"
S_BASKETBALL,Rayman,Basketball,1,1,"Improvised weapon. +1 Attack die. The pump fake works on monsters too.","well-worn basketball with hand-drawn flames"
S_SPORTS_DRINK,Rayman,Sports Drink,2,1,"Single-use. +2 Hunger. Electrolytes for the end of the world.","neon sports drink bottle"
S_ATHLETIC_TAPE,Rayman,Athletic Tape,1,2,"Single-use. Restore 2 Health — or mend a broken Weapon back to working order.","roll of white athletic tape"
S_WHISTLE,Rayman,Whistle,1,3,"Single-use. When a Threat appears at your tile: one ally at an adjacent tile may immediately move to you for free.","metal coach whistle on a lanyard"
S_CROCKPOT,Ellie,Crockpot,1,1,"Portable Crockpot. Cooking with it counts as being at a Crockpot location — home is where the pot is.","battered slow cooker with floral decals"
S_SOUP_RECIPE,Ellie,Soup Recipe,1,2,"Reference. Grandma's soup, in her handwriting. The Recipe rack has the team's full cookbook — keep this one safe.","handwritten recipe card, stained and loved"
S_COOKING_KNIFE,Ellie,Cooking Knife,1,1,"Weapon. +1 Attack die. Keeps a better edge than any bat.","professional chef's knife on a wooden board"
S_PANTRY_KEY,Ellie,Pantry Key,1,3,"Key. Single-use: one player Gathering at Ellie & Luca's House picks a specific resource instead of drawing random.","ornate brass pantry key"
S_APRON,Ellie,Apron,1,1,"Comfort. While worn: +1 Sanity whenever you cook a shared meal — they said thank you.","flour-dusted apron with ruffles"
S_NOTEBOOK,Luca,Notebook,1,1,"Keepsake. Once per day at Night, if an ally is at your tile: read the day back aloud — +1 Sanity to you.","leather notebook stuffed with loose pages"
S_LOUD_WHISTLE,Luca,Loud Whistle,1,3,"Single-use. At Night: everyone at your tile counts as together — nobody there is alone tonight.","large brass whistle"
S_PEP_TALK,Luca,Pep Talk,1,1,"Single-use. One ally at your tile: +2 Sanity. You always know what to say.","index card with bold underlined words"
S_READING_LAMP,Luca,Reading Lamp,1,1,"Comfort. Too dim to scare Charlie (NOT a light source) — but read by it at Night for +1 Sanity.","small bendy-neck reading lamp"
S_TOOLBOX,Luca,Toolbox,1,2,"Tool. Single-use: complete a Craft while short exactly one resource — the toolbox had a spare part.","dented red metal toolbox"
